Subdistrict,,,,
,Land Use (Hectare (Ha)),,,
,Agricultural land (Rice fields),Agricultural land (Not Rice fields),Not Agriculture Land,Number of Land
,2023,2023,2023,2023
[010] Mojo,926,7371,1866,10163
[020] Semen,1391,5579,901,7871
[030] Ngadiluwih,1160,984,1814,3958
[040] Kras,2191,513,1844,4548
[050] Ringinrejo,1590,555,2083,4228
[060] Kandat,1984,1048,1841,4873
[070] Wates,3370,241,2902,6513
[080] Ngancar,1508,4847,1726,8081
[090] Plosoklaten,2153,2329,2276,6758
[100] Gurah,2272,382,2101,4755
[110] Puncu,745,5239,797,6781
[120] Kepung,2356,5803,2395,10554
[130] Kandangan,1790,1193,894,3877
[140] Pare,1524,661,2224,4409
[141] Badas,2181,72,1624,3877
[150] Kunjang,1879,252,811,2942
[160] Plemahan,3201,152,1242,4595
[170] Purwoasri,2778,0,1133,3911
[180] Papar,1714,369,1426,3509
[190] Pagu,1409,119,886,2414
[191] Kayenkidul,1918,337,1211,3466
[200] Gampengrejo,545,107,1264,1916
[201] Ngasem,497,128,1235,1860
[210] Banyakan,1008,4542,1409,6959
[220] Grogol,1093,999,1257,3349
[230] Tarokan,883,2115,1249,4247
